Price,Bedrooms,Bathrooms,Size,Price/SQ.Ft
165000,3,2,1144,144.23
374900,3,2,1368,274.05
199900,3,2,1238,161.47
365000,3,1,1056,345.64
222900,2,2,1086,205.25
249900,2,1,720,347.08
290000,3,2,1426,203.37
170500,4,2,1361,125.28
560000,3,3,2344,238.91
339900,4,2,1925,176.57
550000,4,3,2600,211.54
269900,4,2,1601,168.58
350000,3,2,1395,250.9
214000,2,2,1042,205.37
299900,3,2,1200,249.92
139500,2,2,1248,111.78
360000,4,3,3000,120
315000,3,2,1300,242.31
279900,3,2,1244,225
399000,4,2,2139,186.54
475000,4,3,2450,193.88
65900,2,2,840,78.45
212000,4,3,1878,112.89
180000,3,2,1350,133.33
210000,4,2,1377,152.51
375000,3,3,1475,254.24
106900,2,2,894,119.57
221830,3,2,1550,143.12
239000,3,2,1106,216.09
187500,1,1,594,315.66
445000,5,3,3200,139.06
309000,3,2,1906,162.12
315000,3,2,2004,157.19
191100,3,1,1200,159.25
699900,5,3,1818,384.98
189500,2,2,1040,182.21
199000,4,2,1400,142.14
359000,4,3,2209,162.52
264450,3,1,1030,256.75
459000,3,2,1999,229.61
150000,3,2,1316,113.98
875000,3,3,2200,397.73
599000,2,2,1200,499.17
250000,3,3,1261,198.26
165000,3,2,1120,147.32
229900,4,3,1857,123.8
229900,3,2,1400,164.21
269900,3,2,1139,236.96
245000,5,3,6098,40.18
165000,3,2,1300,126.92
429000,3,3,2041,210.19
309900,4,3,2248,137.86
265000,2,1,972,272.63
169900,4,2,1500,113.27
380900,3,2,2000,190.45
315000,4,3,1939,162.45
260000,3,2,1413,184.01
119900,3,2,1312,91.39
211500,3,2,1275,165.88
149000,2,1,854,174.47
890000,3,3,3474,256.19
289900,3,2,1380,210.07
289000,4,3,2100,137.62
399900,3,2,1487,268.93
125000,3,2,900,138.89
359900,5,3,3036,118.54
239000,3,3,1800,132.78
199900,3,3,1600,124.94
179900,4,3,2150,83.67
195000,3,2,1300,150
299000,2,2,896,333.71
265000,2,3,1700,155.88
699000,3,2,1700,411.18
275000,2,2,1194,230.32
169990,3,2,1465,116.03
189000,3,3,1530,123.53
695000,4,2,2032,342.03
105000,2,2,1088,96.51
365000,4,4,4000,91.25
335900,3,3,1296,259.18
170000,3,2,944,180.08
339900,4,2,2100,161.86
359900,3,3,2340,153.8
143000,3,2,1080,132.41
199000,3,2,1196,166.39
374800,3,3,1365,274.58
499000,3,2,2120,235.38
138900,2,1,1055,131.66
1999000,4,5,5307,376.67
359000,3,2,1774,202.37
294900,4,2,1856,158.89
299500,4,2,1836,163.13
427900,4,3,2367,180.78
269000,3,2,1181,227.77
449000,3,3,2563,175.19
144900,2,2,1130,128.23
345000,3,3,2020,170.79
239000,4,2,1240,192.74
310000,2,1,780,397.44
225000,3,3,1800,125
695000,5,6,3750,185.33
242500,3,3,1650,146.97
249250,2,1,728,342.38
479000,3,2,1462,327.63
169900,3,2,1150,147.74
219900,3,3,1660,132.47
150000,2,2,1440,104.17
649000,4,2,1814,357.77
285000,4,3,2100,135.71
163999,3,2,1488,110.21
349000,4,2,1718,203.14
409900,3,2,1716,238.87
275000,3,2,1320,208.33
179900,3,2,1200,149.92
789000,3,3,2218,355.73
299000,4,3,1768,169.12
850000,5,4,3588,236.9
295900,3,2,1776,166.61
199000,4,3,1467,135.65
199900,3,3,1950,102.51
179900,3,2,1288,139.67
290000,3,3,1733,167.34
168000,3,2,1128,148.94
270000,3,3,1900,142.11
1249000,6,7,5103,244.76
240000,3,2,1255,191.24
219500,5,2,1802,121.81
235000,4,3,2336,100.6
239800,2,2,1190,201.51
269000,3,3,1800,149.44
319200,4,3,2006,159.12
402500,3,2,2446,164.55
425000,3,2,2114,201.04
669000,3,3,2600,257.31
369000,3,2,1514,243.73
239900,3,2,1080,222.13
249500,2,2,1088,229.32
557000,4,2,1809,307.9
339900,6,3,2053,165.56
149900,2,2,969,154.7
849900,3,4,3375,251.82
307000,3,2,1594,192.6
259000,4,3,1900,136.32
165000,3,2,1050,157.14
289900,3,2,1414,205.02
879000,3,4,3698,237.7
220000,3,2,1200,183.33
309000,3,3,1685,183.38
580000,3,3,2271,255.39
459900,2,2,1150,399.91
299000,5,3,2481,120.52
309900,4,3,1600,193.69
287000,3,2,1269,226.16
310000,3,2,1200,258.33
229900,3,2,1198,191.9
377000,3,2,1363,276.6
295000,4,2,1973,149.52
225000,3,2,1516,148.42
130000,3,2,1080,120.37
169990,2,1,920,184.77
145000,3,2,1027,141.19
184800,4,2,2018,91.58
189900,3,2,1253,151.56
249000,3,2,1062,234.46
185000,4,2,1934,95.66
145000,2,2,1041,139.29
429000,5,3,2700,158.89
419000,2,2,1587,264.02
245000,3,3,1859,131.79
289900,4,3,2400,120.79
175000,3,2,1110,157.66
139000,3,2,1075,129.3
514900,4,3,2035,253.02
549000,3,2,1858,295.48
235000,3,3,1261,186.36
399000,6,3,2628,151.83
259900,3,2,1120,232.05
350900,3,2,1686,208.13
1399900,4,4,5190,269.73
399000,3,2,1840,216.85
399000,3,2,1204,331.4
199000,2,1,973,204.52
350000,3,2,1622,215.78
296800,4,2,2125,139.67
165000,3,2,1204,137.04
210000,3,3,1750,120
229000,3,2,1458,157.06
199500,3,2,1184,168.5
110000,3,2,1000,110
264900,3,3,1197,221.3
449900,3,3,2135,210.73
159900,3,2,1114,143.54
429000,4,2,1870,229.41
265000,1,1,566,468.2
279900,2,2,1134,246.83
174900,3,2,1100,159
158900,4,2,1144,138.9
150000,3,2,1349,111.19
269000,3,3,1281,209.99
489900,3,3,1957,250.33
256000,4,2,1174,218.06
335000,4,3,2400,139.58
435000,3,2,1236,351.94
280000,3,3,1910,146.6
409000,4,2,2064,198.16
409000,4,2,2064,198.16
399000,4,3,1888,211.33
389000,4,2,1862,208.92
222600,3,2,1106,201.27
140000,3,2,1200,116.67
220000,5,3,2408,91.36
650000,3,3,2703,240.47
405000,3,2,1728,234.38
409000,3,2,1960,208.67
164900,3,2,1092,151.01
59900,1,1,628,95.38
199900,3,2,1275,156.78
95000,2,1,756,125.66
170000,2,2,885,192.09
720000,4,4,3531,203.91
204000,3,2,1712,119.16
220000,3,2,1100,200
498900,4,3,1500,332.6
229900,3,2,1671,137.58
531905,3,2,1668,318.89
114900,2,1,775,148.26
145000,3,2,1200,120.83
191330,4,2,1237,154.67
199900,4,2,1338,149.4
266800,4,3,2100,127.05
84900,2,2,1222,69.48
250000,3,2,1807,138.35
220000,4,2,1352,162.72
227900,3,2,1503,151.63
384900,4,2,1571,245
529000,4,3,2502,211.43
159900,3,2,1526,104.78
199000,3,2,1007,197.62
125000,3,3,1306,95.71
91500,3,2,1313,69.69
155000,3,2,1593,97.3
409000,3,3,2203,185.66
949000,5,4,5200,182.5
90000,2,1,756,119.05
300000,3,3,2328,128.87
179900,3,2,1008,178.47
349000,3,2,1346,259.29
220000,3,2,1112,197.84
155000,3,2,1340,115.67
390000,4,2,2236,174.42
425000,5,4,3039,139.85
249900,3,2,1733,144.2
239000,4,3,1947,122.75
395000,4,3,1868,211.46
375000,3,3,1475,254.24
395000,4,3,1868,211.46
395000,4,3,1868,211.46
230000,4,3,1927,119.36
189000,3,2,1292,146.28
304900,3,2,1657,184.01
169900,3,2,1300,130.69
286500,3,2,1700,168.53
325000,4,2,2400,135.42
375000,3,2,1278,293.43
278000,3,2,1396,199.14
149000,3,2,1368,108.92
209000,3,2,1520,137.5
95000,2,2,900,105.56
199900,3,2,1407,142.08
185000,3,2,1170,158.12
449900,4,3,3035,148.24
310000,5,4,2900,106.9
239900,4,2,1656,144.87
187900,2,2,980,191.73
450000,3,2,1916,234.86
440000,3,3,1756,250.57
260000,3,2,1278,203.44
40900,3,1,1201,34.05
249000,3,2,1275,195.29
349000,3,3,2000,174.5
175000,3,2,1200,145.83
449970,3,2,2000,224.99
419000,3,2,1902,220.29
400000,3,3,1568,255.1
185000,3,2,1257,147.18
139900,2,2,1100,127.18
174900,3,2,1461,119.71
165360,4,2,1353,122.22
169000,3,2,1200,140.83
240000,3,3,2039,117.7
364000,4,3,2150,169.3
250000,1,1,748,334.22
299900,4,3,1969,152.31
281900,4,3,2357,119.6
349900,3,1,1522,229.89
220000,3,2,1850,118.92
774800,3,4,3123,248.09
135000,3,2,1200,112.5
149900,3,1,1000,149.9
599000,3,2,2082,287.7
179000,3,2,1200,149.17
177000,3,2,1500,118
177000,3,2,1500,118
122500,4,2,1248,98.16
239500,3,2,1400,171.07
214900,3,2,1080,198.98
275000,3,2,1460,188.36
425000,3,2,1437,295.76
274900,2,2,1218,225.7
175000,2,2,1152,151.91
535000,2,2,1410,379.43
540000,2,1,817,660.95
389000,2,2,703,553.34
250000,3,2,1425,175.44
425000,3,2,1807,235.2
1195000,5,4,3800,314.47
1350000,3,3,2502,539.57
78500,1,1,800,98.13
549000,3,2,2237,245.42
399900,4,2,1860,215
699000,10,11,4905,142.51
129000,2,2,1200,107.5
480000,2,2,1698,282.69
189000,3,1,1022,184.93
639900,3,2,2080,307.64
699900,5,4,3000,233.3
999000,3,3,3621,275.89
599000,3,2,1570,381.53
365000,4,2,1860,196.24
359900,3,2,1840,195.6
995000,4,4,3740,266.04
193450,4,2,1217,158.96
179900,3,3,1520,118.36
329900,3,2,1240,266.05
509000,3,2,1936,262.91
995000,3,3,2044,486.79
545000,3,2,1946,280.06
795000,3,3,2028,392.01
830000,4,3,2700,307.41
54500,2,1,624,87.34
149000,3,2,1800,82.78
36000,2,2,1056,34.09
349000,3,2,1467,237.9
299900,4,3,2150,139.49
469000,4,2,2004,234.03
1195000,2,2,1044,1144.64
419900,3,2,1576,266.43
189000,2,2,1536,123.05
163900,3,2,1082,151.48
163900,3,2,1237,132.5
648000,3,3,2193,295.49
130000,3,2,1022,127.2
264900,3,2,1232,215.02
189900,4,2,1435,132.33
200000,4,2,1430,139.86
1249000,3,3,2480,503.63
525000,3,3,1832,286.57
729000,3,3,1953,373.27
109900,3,2,1100,99.91
850000,3,2,2481,342.6
249500,3,2,1704,146.42
179900,3,2,1161,154.95
149000,3,2,1440,103.47
549000,3,2,1701,322.75
435000,3,2,1536,283.2
299000,3,2,1310,228.24
625000,3,2,2187,285.78
399000,4,3,2100,190
186900,4,2,1511,123.69
1290000,3,3,2130,605.63
264900,2,3,1400,189.21
198900,3,2,1225,162.37
318000,3,3,1868,170.24
2000000,4,4,3576,559.28
598000,2,3,2219,269.49
439900,3,3,2508,175.4
920000,3,3,2817,326.59
179900,3,2,1972,91.23
325000,2,1,952,341.39
369000,3,2,1080,341.67
312900,3,2,1454,215.2
575000,3,3,1961,293.22
26500,2,2,1344,19.72
2369000,5,6,4174,567.56
67500,2,2,120,562.5
1490000,3,3,3201,465.48
652000,3,2,1427,456.9
449000,3,3,2100,213.81
982800,3,2,2306,426.19
235000,4,3,2100,111.9
579900,4,3,3166,183.16
250000,3,2,1280,195.31
100000,3,1,870,114.94
125000,2,1,960,130.21
650000,2,2,919,707.29
119900,2,2,1034,115.96
209900,3,2,1356,154.79
524900,3,2,2380,220.55
349000,5,3,3000,116.33
349000,5,3,3000,116.33
825000,2,3,1840,448.37
255000,3,2,1189,214.47
259000,4,2,1336,193.86
199000,2,1,832,239.18
410000,5,3,2100,195.24
199000,3,1,940,211.7
270000,3,2,1344,200.89
695000,2,2,1437,483.65
2995000,5,4,3684,812.98
131900,1,2,300,439.67
995000,4,3,2717,366.21
250000,4,3,2097,119.22
239800,5,2,1575,152.25
425000,6,3,2628,161.72
525000,3,2,1750,300
459900,3,2,1346,341.68
229900,3,2,1041,220.85
199900,3,2,1526,131
599000,4,2,1728,346.64
197600,4,2,1378,143.4
355000,2,1,1145,310.04
339900,3,2,1325,256.53
299000,3,3,1850,161.62
166800,4,2,1765,94.5
379000,4,2,1631,232.37
1395000,4,4,2693,518.01
150000,3,2,1316,113.98
475000,3,2,1382,343.7
265000,4,3,2300,115.22
265000,3,2,1617,163.88
225000,2,2,1150,195.65
249900,2,2,1674,149.28
509000,3,2,1543,329.88
214900,2,2,1351,159.07
5499000,4,5,5060,1086.76
349900,3,2,2000,174.95
125000,2,2,1536,81.38
549000,2,2,924,594.16
865000,3,3,1860,465.05
1600000,3,3,2640,606.06
1065000,4,4,3395,313.7
625000,3,2,1850,337.84
249999,3,2,1000,250
975000,4,3,2720,358.46
204900,2,1,992,206.55
355000,3,2,1737,204.38
134900,3,3,1435,94.01
199900,5,3,1671,119.63
349900,4,3,2800,124.96
99000,2,2,900,110
409000,4,3,2507,163.14
339000,2,2,1440,235.42
595000,3,3,2238,265.86
849500,3,3,2725,311.74
399000,2,3,1772,225.17
399000,4,2,1947,204.93
525000,3,2,1720,305.23
319900,3,3,1605,199.31
495000,3,2,1877,263.72
372000,3,2,1104,336.96
589000,3,2,1975,298.23
1100000,3,3,2392,459.87
