,consumer_num,month 1,month 2,month 3,month 4,month 5,month 6
140,533,579.0,219.0,210.0,384.0,214.0,408.0
141,538,116.0,133.0,92.0,79.0,130.0,109.0
143,544,692.0,677.0,1299.0,1113.0,999.0,1061.0
146,564,678.0,798.0,820.0,719.0,686.0,738.0
147,571,1421.0,1539.0,7896.0,5283.0,11240.0,670.0
148,578,325.0,562.0,413.0,279.0,396.0,342.0
149,581,248.0,300.0,396.0,302.0,339.0,288.0
150,582,211.0,194.0,216.0,143.0,140.0,163.0
151,585,8.0,8.0,8.0,8.0,8.0,8.0
152,593,1445.0,2083.0,2374.0,1930.0,1258.0,2268.0
153,607,652.0,670.0,750.0,779.0,424.0,812.0
154,609,108.0,105.0,92.0,91.0,91.0,117.0
155,610,4.0,23.0,7.0,7.0,33.0,8.0
156,614,92.0,78.0,130.0,109.0,115.0,62.0
157,617,14.0,14.0,15.0,13.0,13.0,13.0
158,621,5.0,4.0,5.0,5.0,4.0,5.0
159,625,1601.0,834.0,897.0,856.0,1056.0,410.0
160,628,218.0,259.0,254.0,174.0,231.0,201.0
161,633,868.0,917.0,927.0,881.0,204.0,204.0
162,640,2708.0,3217.0,2421.0,2536.0,2252.0,2345.0
163,646,386.0,183.0,469.0,292.0,233.0,241.0
164,647,1273.0,786.0,646.0,1433.0,1644.0,694.0
165,650,620.0,694.0,644.0,535.0,842.0,579.0
166,656,325.0,248.0,142.0,132.0,188.0,144.0
167,657,896.0,1006.0,1038.0,943.0,926.0,956.0
168,659,778.0,1255.0,775.0,1063.0,1139.0,1914.0
169,664,289.0,506.0,233.0,212.0,234.0,509.0
170,666,201.0,208.0,212.0,166.0,209.0,165.0
171,671,536.0,235.0,234.0,935.0,255.0,497.0
172,673,250.0,249.0,256.0,286.0,305.0,196.0
173,675,216.0,102.0,205.0,211.0,207.0,212.0
175,682,22.0,49.0,63.0,35.0,36.0,34.0
176,683,39.0,75.0,81.0,94.0,90.0,99.0
177,685,243.0,282.0,113.0,123.0,117.0,219.0
178,698,1495.0,1231.0,1059.0,641.0,534.0,917.0
179,701,748.0,777.0,928.0,899.0,1004.0,1028.0
180,702,35.0,72.0,73.0,31.0,22.0,52.0
181,708,89.0,27.0,38.0,10.0,17.0,15.0
182,711,17.0,3.0,5.0,5.0,6.0,12.0
183,712,1114.0,1110.0,1037.0,1086.0,1292.0,1489.0
184,715,654.0,487.0,510.0,397.0,396.0,390.0
185,724,76.0,76.0,1151.0,75.0,80.0,78.0
186,729,882.0,939.0,893.0,785.0,748.0,717.0
187,730,514.0,523.0,540.0,486.0,450.0,530.0
188,734,209.0,211.0,82.0,160.0,180.0,268.0
189,736,691.0,834.0,617.0,848.0,1163.0,847.0
190,739,296.0,350.0,343.0,261.0,299.0,317.0
191,745,1630.0,1538.0,1322.0,1221.0,619.0,26.0
192,758,1013.0,1108.0,1177.0,975.0,604.0,460.0
193,761,206.0,154.0,256.0,269.0,287.0,237.0
194,762,350.0,365.0,345.0,352.0,337.0,655.0
195,763,542.0,236.0,6.0,27.0,23.0,23.0
196,776,1038.0,525.0,485.0,540.0,591.0,530.0
197,780,3824.0,4038.0,7386.0,2863.0,6832.0,9371.0
198,784,1496.0,1970.0,2046.0,1728.0,1452.0,1293.0
199,787,478.0,798.0,670.0,429.0,478.0,1168.0
200,794,364.0,943.0,1273.0,1273.0,346.0,928.0
201,797,444.0,444.0,539.0,486.0,459.0,436.0
204,809,241.0,323.0,243.0,237.0,266.0,245.0
205,810,168.0,192.0,189.0,71.0,175.0,134.0
206,817,158.0,256.0,162.0,98.0,154.0,146.0
207,822,350.0,389.0,358.0,360.0,377.0,298.0
208,823,372.0,194.0,388.0,392.0,443.0,455.0
209,825,566.0,588.0,599.0,582.0,579.0,274.0
210,828,428.0,193.0,616.0,216.0,211.0,207.0
211,832,234.0,134.0,324.0,324.0,266.0,266.0
212,833,433.0,430.0,325.0,224.0,376.0,322.0
213,838,408.0,461.0,456.0,421.0,429.0,10.0
214,840,191.0,213.0,212.0,181.0,251.0,183.0
215,844,919.0,1257.0,984.0,993.0,1295.0,665.0
216,847,669.0,630.0,375.0,375.0,315.0,549.0
218,854,303.0,548.0,373.0,375.0,2.0,151.0
219,856,58.0,116.0,89.0,140.0,159.0,58.0
220,857,607.0,796.0,1394.0,1178.0,1111.0,1106.0
221,860,657.0,650.0,587.0,616.0,687.0,688.0
222,864,1083.0,1293.0,722.0,546.0,510.0,575.0
223,866,532.0,771.0,420.0,994.0,1148.0,574.0
224,867,142.0,96.0,192.0,322.0,243.0,251.0
225,871,495.0,579.0,462.0,456.0,513.0,534.0
226,872,850.0,879.0,538.0,198.0,352.0,44.0
227,875,190.0,183.0,299.0,7.0,128.0,235.0
228,878,182.0,135.0,73.0,132.0,109.0,71.0
229,882,100.0,129.0,106.0,106.0,106.0,106.0
230,883,524.0,576.0,590.0,557.0,549.0,554.0
231,891,21.0,202.0,377.0,128.0,137.0,307.0
232,901,622.0,822.0,855.0,838.0,780.0,581.0
233,905,612.0,53.0,1965.0,59.0,89.0,59.0
234,908,2716.0,2674.0,11400.0,3163.0,3180.0,1781.0
235,911,675.0,160.0,1506.0,233.0,286.0,842.0
236,913,197.0,272.0,248.0,202.0,187.0,110.0
237,924,928.0,957.0,886.0,880.0,901.0,954.0
238,927,203.0,218.0,661.0,436.0,550.0,218.0
239,929,329.0,360.0,373.0,326.0,403.0,250.0
240,934,271.0,580.0,634.0,582.0,293.0,245.0
241,939,989.0,1139.0,1135.0,948.0,946.0,964.0
242,941,381.0,584.0,564.0,484.0,496.0,412.0
243,943,780.0,853.0,960.0,908.0,835.0,882.0
244,955,748.0,593.0,636.0,585.0,657.0,593.0
245,958,99.0,99.0,113.0,122.0,133.0,52.0
246,963,920.0,1186.0,1426.0,1552.0,1976.0,1073.0
247,968,6240.0,5520.0,27627.0,5960.0,18000.0,17320.0
248,970,9.0,11.0,9.0,7.0,11.0,13.0
249,979,310.0,291.0,269.0,177.0,151.0,182.0
250,980,4.0,2.0,1.0,3.0,5.0,2.0
251,986,525.0,575.0,633.0,656.0,489.0,224.0
252,987,10.0,9.0,42.0,226.0,403.0,457.0
253,989,480.0,480.0,480.0,480.0,960.0,480.0
254,990,277.0,720.0,1120.0,1193.0,1112.0,1097.0
255,994,73.0,79.0,173.0,81.0,86.0,170.0
256,996,333.0,380.0,471.0,289.0,266.0,246.0
257,997,119.0,97.0,110.0,117.0,115.0,109.0
258,1004,599.0,596.0,557.0,524.0,501.0,498.0
259,1010,422.0,477.0,497.0,355.0,714.0,327.0
260,1019,843.0,913.0,1104.0,1029.0,756.0,667.0
261,1021,688.0,711.0,751.0,716.0,611.0,592.0
262,1022,146.0,140.0,170.0,386.0,198.0,200.0
263,1023,294.0,745.0,912.0,1223.0,1407.0,1212.0
264,1028,404.0,659.0,714.0,935.0,905.0,803.0
265,1031,122.0,244.0,244.0,122.0,244.0,122.0
266,1032,342.0,726.0,690.0,450.0,818.0,1173.0
267,1049,679.0,751.0,727.0,618.0,578.0,678.0
268,1054,358.0,354.0,343.0,310.0,306.0,311.0
269,1060,3814.0,3657.0,2854.0,1908.0,1639.0,2660.0
270,1067,1815.0,1787.0,2052.0,1973.0,1805.0,1938.0
271,1069,964.0,1318.0,1620.0,1679.0,1581.0,1618.0
272,1072,150.0,154.0,198.0,241.0,201.0,153.0
273,1073,262.0,247.0,623.0,872.0,669.0,601.0
274,1075,345.0,352.0,350.0,373.0,348.0,220.0
275,1083,84.0,96.0,101.0,109.0,112.0,117.0
276,1085,108.0,134.0,141.0,140.0,144.0,122.0
277,1088,2260.0,2483.0,2646.0,2747.0,2596.0,2473.0
278,1095,368.0,368.0,400.0,448.0,421.0,409.0
279,1100,342.0,311.0,242.0,313.0,327.0,264.0
280,1114,20.0,17.0,20.0,20.0,20.0,20.0
281,1131,148.0,152.0,177.0,138.0,133.0,132.0
282,1133,14880.0,17360.0,15760.0,14040.0,18880.0,21560.0
283,1138,443.0,456.0,282.0,544.0,500.0,482.0
284,1140,1340.0,1340.0,1340.0,1340.0,1340.0,1340.0
285,1146,548.0,274.0,274.0,274.0,548.0,274.0
286,1149,366.0,1246.0,264.0,822.0,1159.0,1248.0
287,1150,6320.0,5880.0,11400.0,5280.0,7040.0,6240.0
288,1156,347.0,351.0,332.0,331.0,355.0,349.0
289,1159,42.0,31.0,37.0,46.0,49.0,53.0
290,1160,26.0,15.0,10.0,10.0,10.0,11.0
291,1169,452.0,449.0,434.0,433.0,448.0,452.0
292,1178,1143.0,1130.0,565.0,527.0,538.0,540.0
293,1181,409.0,922.0,960.0,840.0,750.0,809.0
294,1195,253.0,128.0,128.0,256.0,249.0,128.0
295,1198,530.0,490.0,618.0,626.0,597.0,570.0
296,1201,217.0,270.0,277.0,269.0,287.0,304.0
297,1202,10.0,25.0,14.0,20.0,33.0,20.0
298,1203,998.0,2185.0,2028.0,4120.0,3169.0,2310.0
299,1205,700.0,690.0,557.0,573.0,705.0,684.0
300,1211,449.0,500.0,992.0,889.0,708.0,321.0
301,1215,785.0,743.0,764.0,900.0,912.0,926.0
302,1218,308.0,258.0,269.0,249.0,155.0,231.0
303,1220,322.0,379.0,322.0,299.0,313.0,331.0
304,1224,586.0,663.0,697.0,654.0,662.0,684.0
305,1226,149.0,267.0,200.0,632.0,583.0,531.0
307,1234,707.0,824.0,793.0,657.0,678.0,740.0
308,1236,212.0,176.0,301.0,338.0,353.0,285.0
310,1242,454.0,908.0,885.0,454.0,908.0,908.0
311,1248,600.0,744.0,700.0,485.0,525.0,270.0
312,1251,136.0,136.0,272.0,136.0,136.0,136.0
313,1252,587.0,564.0,547.0,500.0,492.0,671.0
314,1262,162.0,124.0,203.0,198.0,222.0,181.0
315,1265,15.0,28.0,20.0,6.0,8.0,17.0
316,1268,352.0,409.0,354.0,334.0,378.0,356.0
317,1270,10.0,8.0,7.0,63.0,40.0,103.0
318,1277,57.0,67.0,116.0,77.0,129.0,65.0
319,1279,34.0,23.0,26.0,43.0,15.0,16.0
320,1280,140.0,295.0,151.0,315.0,303.0,292.0
321,1284,54.0,57.0,57.0,61.0,63.0,58.0
322,1289,3.0,15.0,15.0,8.0,16.0,8.0
323,1290,33.0,32.0,66.0,38.0,37.0,26.0
324,1297,170.0,253.0,303.0,234.0,169.0,165.0
325,1304,30.0,17.0,39.0,34.0,36.0,42.0
326,1306,355.0,348.0,325.0,325.0,173.0,338.0
327,1307,4.0,4.0,4.0,4.0,4.0,8.0
328,1310,69.0,72.0,67.0,31.0,74.0,81.0
329,1314,980.0,1088.0,773.0,767.0,912.0,911.0
331,1333,981.0,1123.0,970.0,979.0,890.0,949.0
332,1335,667.0,730.0,738.0,759.0,792.0,49.0
333,1340,79.0,58.0,56.0,50.0,26.0,26.0
334,1344,58.0,59.0,121.0,52.0,90.0,89.0
335,1346,37.0,34.0,66.0,36.0,71.0,67.0
336,1347,40.0,41.0,48.0,51.0,51.0,45.0
337,1356,45.0,49.0,43.0,55.0,103.0,51.0
338,1357,53.0,54.0,54.0,41.0,65.0,48.0
340,1360,11.0,12.0,25.0,25.0,2.0,16.0
341,1364,48.0,48.0,48.0,48.0,48.0,96.0
342,1366,301.0,368.0,352.0,384.0,336.0,408.0
343,1369,227.0,138.0,8.0,20.0,174.0,341.0
344,1371,105.0,117.0,135.0,116.0,103.0,106.0
345,1373,206.0,109.0,102.0,117.0,92.0,93.0
346,1375,312.0,145.0,165.0,169.0,146.0,154.0
347,1378,61.0,133.0,147.0,162.0,163.0,160.0
348,1382,189.0,234.0,201.0,202.0,208.0,187.0
349,1383,429.0,429.0,164.0,198.0,362.0,186.0
350,1391,13.0,15.0,35.0,17.0,17.0,50.0
351,1392,170.0,153.0,372.0,193.0,187.0,176.0
352,1398,78.0,261.0,148.0,51.0,163.0,49.0
353,1402,616.0,616.0,616.0,616.0,579.0,471.0
354,1405,208.0,417.0,168.0,186.0,189.0,184.0
355,1413,19.0,20.0,20.0,20.0,20.0,20.0
356,1418,453.0,456.0,437.0,399.0,391.0,400.0
358,1424,1325.0,1776.0,1692.0,653.0,1488.0,1099.0
360,1429,534.0,75.0,75.0,204.0,344.0,453.0
361,1430,533.0,840.0,1431.0,393.0,403.0,457.0
362,1441,339.0,358.0,365.0,355.0,372.0,384.0
363,1443,171.0,253.0,75.0,185.0,110.0,110.0
364,1445,266.0,291.0,260.0,276.0,275.0,238.0
365,1448,490.0,512.0,482.0,217.0,247.0,480.0
366,1451,205.0,240.0,255.0,408.0,337.0,258.0
367,1452,293.0,281.0,322.0,395.0,432.0,453.0
368,1453,497.0,518.0,517.0,529.0,544.0,428.0
369,1455,182.0,268.0,204.0,177.0,193.0,187.0
370,1461,2391.0,1283.0,1422.0,745.0,1136.0,1677.0
371,1462,341.0,477.0,416.0,813.0,681.0,714.0
372,1465,500.0,540.0,440.0,414.0,408.0,388.0
373,1468,304.0,460.0,542.0,227.0,477.0,279.0
374,1474,844.0,571.0,479.0,528.0,577.0,522.0
375,1476,403.0,331.0,502.0,485.0,338.0,606.0
377,1486,90.0,190.0,126.0,126.0,126.0,126.0
378,1489,421.0,441.0,206.0,206.0,419.0,190.0
379,1490,424.0,510.0,469.0,443.0,442.0,397.0
380,1494,598.0,659.0,705.0,289.0,670.0,707.0
381,1499,744.0,820.0,812.0,728.0,692.0,637.0
382,1501,336.0,338.0,374.0,389.0,403.0,383.0
383,1502,202.0,258.0,256.0,223.0,236.0,242.0
384,1505,354.0,409.0,426.0,180.0,356.0,414.0
385,1508,188.0,188.0,188.0,188.0,94.0,188.0
386,1513,920.0,1047.0,1019.0,414.0,699.0,675.0
387,1515,490.0,539.0,450.0,513.0,455.0,393.0
388,1524,654.0,919.0,646.0,415.0,429.0,328.0
389,1526,400.0,376.0,243.0,290.0,287.0,320.0
390,1527,413.0,1063.0,1055.0,313.0,670.0,342.0
391,1529,1297.0,684.0,591.0,595.0,973.0,1249.0
392,1530,289.0,631.0,662.0,633.0,643.0,661.0
393,1534,783.0,774.0,747.0,734.0,731.0,642.0
394,1537,183.0,232.0,181.0,123.0,169.0,166.0
395,1539,472.0,103.0,387.0,401.0,1903.0,1892.0
396,1541,723.0,846.0,912.0,353.0,815.0,831.0
397,1542,211.0,256.0,300.0,321.0,421.0,495.0
398,1543,163.0,259.0,201.0,137.0,188.0,170.0
399,1552,125.0,109.0,160.0,159.0,126.0,144.0
400,1558,671.0,602.0,599.0,536.0,456.0,477.0
401,1561,291.0,351.0,365.0,325.0,335.0,298.0
402,1563,738.0,832.0,846.0,744.0,899.0,813.0
403,1568,308.0,277.0,453.0,294.0,264.0,230.0
404,1580,45.0,44.0,53.0,66.0,59.0,67.0
405,1590,225.0,467.0,482.0,251.0,253.0,250.0
406,1594,171.0,193.0,198.0,174.0,179.0,190.0
407,1596,1032.0,1424.0,1558.0,1145.0,1063.0,1044.0
408,1597,34.0,358.0,358.0,358.0,358.0,358.0
409,1603,417.0,511.0,492.0,473.0,674.0,574.0
410,1605,99.0,29.0,29.0,32.0,16.0,32.0
411,1608,520.0,496.0,496.0,496.0,496.0,496.0
412,1613,388.0,443.0,424.0,293.0,330.0,309.0
413,1615,96.0,114.0,114.0,114.0,114.0,114.0
414,1618,433.0,609.0,620.0,822.0,843.0,639.0
415,1620,514.0,651.0,669.0,684.0,718.0,605.0
416,1626,2.0,2.0,2.0,2.0,2.0,2.0
417,1627,412.0,458.0,443.0,399.0,425.0,408.0
418,1629,257.0,154.0,300.0,188.0,195.0,106.0
419,1630,300.0,300.0,300.0,300.0,300.0,300.0
420,1634,443.0,305.0,561.0,771.0,867.0,905.0
421,1636,37.0,44.0,49.0,40.0,38.0,38.0
422,1642,2656.0,2656.0,2656.0,2656.0,2656.0,2656.0
423,1643,685.0,743.0,689.0,596.0,617.0,647.0
424,1645,1717.0,514.0,717.0,1247.0,488.0,604.0
425,1651,319.0,213.0,177.0,200.0,241.0,200.0
426,1652,358.0,342.0,316.0,539.0,323.0,333.0
427,1655,355.0,486.0,541.0,401.0,434.0,383.0
428,1658,520.0,581.0,622.0,568.0,283.0,8.0
429,1662,457.0,251.0,278.0,204.0,236.0,240.0
430,1663,475.0,720.0,590.0,437.0,452.0,843.0
431,1674,331.0,249.0,159.0,209.0,211.0,235.0
432,1677,171.0,200.0,332.0,560.0,484.0,483.0
433,1679,345.0,335.0,344.0,323.0,631.0,266.0
434,1680,1468.0,1546.0,1560.0,1560.0,1560.0,1560.0
435,1684,1257.0,1432.0,1465.0,1188.0,1095.0,530.0
436,1687,834.0,867.0,822.0,770.0,746.0,743.0
437,1696,528.0,594.0,687.0,630.0,609.0,620.0
438,1700,407.0,433.0,416.0,170.0,365.0,385.0
439,1704,724.0,819.0,858.0,760.0,700.0,328.0
440,1709,357.0,794.0,256.0,649.0,712.0,491.0
441,1710,614.0,750.0,803.0,644.0,622.0,667.0
442,1716,588.0,435.0,262.0,184.0,309.0,274.0
443,1717,311.0,429.0,341.0,355.0,394.0,300.0
444,1719,470.0,473.0,434.0,260.0,323.0,339.0
446,1723,459.0,428.0,92.0,313.0,447.0,227.0
447,1725,294.0,360.0,326.0,582.0,539.0,282.0
448,1731,706.0,832.0,801.0,815.0,573.0,102.0
449,1732,684.0,680.0,767.0,307.0,663.0,713.0
450,1733,530.0,530.0,530.0,530.0,530.0,530.0
451,1738,562.0,799.0,755.0,39.0,66.0,12.0
452,1740,330.0,197.0,173.0,343.0,350.0,337.0
453,1757,624.0,643.0,688.0,575.0,626.0,701.0
454,1759,275.0,335.0,340.0,327.0,372.0,403.0
455,1760,1550.0,2020.0,1589.0,999.0,1249.0,1211.0
456,1764,893.0,918.0,909.0,752.0,671.0,710.0
457,1767,518.0,594.0,626.0,507.0,442.0,449.0
458,1771,280.0,366.0,350.0,270.0,288.0,119.0
459,1772,168.0,190.0,1059.0,242.0,350.0,288.0
460,1781,718.0,772.0,791.0,675.0,616.0,565.0
461,1782,412.0,599.0,711.0,407.0,375.0,345.0
463,1791,657.0,728.0,350.0,328.0,689.0,717.0
464,1793,398.0,387.0,360.0,347.0,447.0,533.0
465,1795,438.0,400.0,249.0,241.0,170.0,243.0
467,1802,611.0,891.0,1262.0,269.0,637.0,878.0
469,1815,831.0,902.0,911.0,1372.0,1624.0,1597.0
470,1824,544.0,1180.0,1433.0,1258.0,983.0,1022.0
471,1836,154.0,162.0,150.0,145.0,162.0,86.0
472,1839,1414.0,2245.0,1705.0,874.0,1200.0,2198.0
473,1842,361.0,775.0,771.0,651.0,638.0,673.0
474,1853,56.0,40.0,23.0,99.0,16.0,14.0
475,1858,747.0,833.0,668.0,669.0,712.0,626.0
476,1862,173.0,197.0,183.0,169.0,205.0,152.0
477,1863,156.0,188.0,378.0,190.0,159.0,190.0
478,1865,952.0,466.0,25.0,175.0,209.0,444.0
479,1870,186.0,256.0,171.0,318.0,383.0,301.0
480,1876,199.0,200.0,288.0,213.0,239.0,212.0
481,1877,385.0,601.0,682.0,12.0,11.0,30.0
482,1879,334.0,323.0,278.0,311.0,284.0,229.0
483,1880,204.0,211.0,200.0,206.0,223.0,224.0
484,1886,280.0,280.0,19.0,70.0,118.0,290.0
485,1894,1175.0,1214.0,1274.0,1236.0,486.0,1019.0
486,1896,325.0,367.0,344.0,302.0,363.0,378.0
487,1900,602.0,510.0,994.0,792.0,708.0,365.0
488,1906,809.0,450.0,881.0,683.0,464.0,253.0
490,1909,3.0,7.0,69.0,183.0,174.0,366.0
491,1910,571.0,669.0,692.0,610.0,590.0,601.0
493,1916,57748.0,57748.0,57748.0,57748.0,57748.0,57748.0
494,1925,804.0,1276.0,1086.0,1243.0,749.0,721.0
495,1928,574.0,282.0,282.0,282.0,555.0,526.0
497,1938,999.0,1070.0,1044.0,943.0,1078.0,867.0
498,1940,326.0,795.0,715.0,492.0,492.0,492.0
499,1944,985.0,1008.0,1052.0,1039.0,1044.0,1071.0
501,1949,99.0,83.0,61.0,10.0,18.0,17.0
502,1950,542.0,320.0,258.0,280.0,357.0,355.0
503,1954,1621.0,2221.0,2166.0,1732.0,1586.0,1361.0
504,1957,564.0,294.0,688.0,328.0,342.0,360.0
505,1959,608.0,629.0,687.0,727.0,735.0,693.0
506,1964,737.0,786.0,797.0,716.0,715.0,737.0
507,1967,1353.0,1699.0,2740.0,2348.0,1357.0,1413.0
508,1971,643.0,365.0,400.0,740.0,680.0,345.0
509,1972,144.0,254.0,219.0,54.0,316.0,239.0
510,1973,299.0,312.0,318.0,282.0,300.0,325.0
511,1981,293.0,254.0,229.0,195.0,264.0,403.0
