consumer_num,connected_load(W),billed_units,bill_month
810,1600,0,201609
810,1600,175,201610
810,1600,134,201612
828,150,428,201602
828,150,193,201604
828,150,616,201606
828,150,216,201608
828,150,211,201610
828,150,207,201612
832,2806,234,201602
832,2806,134,201604
832,2806,324,201606
832,2806,324,201608
832,2806,0,201609
832,2806,266,201610
832,2806,266,201612
844,4000,919,201602
844,4000,1257,201604
844,4000,984,201606
844,4000,993,201608
844,4000,1295,201610
844,4000,665,201612
857,4000,607,201602
857,4000,796,201604
857,4000,1394,201606
857,4000,1178,201608
857,4000,1111,201610
857,4000,1106,201612
866,9240,0,201601
866,9240,532,201602
866,9240,771,201604
866,9240,420,201606
866,9240,994,201608
866,9240,0,201609
866,9240,1148,201610
866,9240,574,201612
871,150,495,201602
871,150,579,201604
871,150,462,201606
871,150,456,201608
871,150,513,201610
871,150,534,201612
901,150,0,201601
901,150,622,201602
901,150,0,201603
901,150,822,201604
901,150,0,201605
901,150,855,201606
901,150,0,201607
901,150,838,201608
901,150,0,201609
901,150,780,201610
901,150,0,201611
901,150,581,201612
927,150,203,201602
927,150,218,201604
927,150,0,201605
927,150,661,201606
927,150,436,201608
927,150,550,201610
927,150,218,201612
934,150,271,201602
934,150,580,201604
934,150,634,201606
934,150,582,201608
934,150,293,201610
934,150,245,201612
958,1000,0,201601
958,1000,99,201602
958,1000,99,201604
958,1000,0,201605
958,1000,113,201606
958,1000,0,201607
958,1000,122,201608
958,1000,133,201610
958,1000,52,201612
963,150,920,201602
963,150,1186,201604
963,150,1426,201606
963,150,1552,201608
963,150,1976,201610
963,150,1073,201612
979,3000,310,201601
979,3000,291,201603
979,3000,269,201605
979,3000,0,201606
979,3000,177,201607
979,3000,151,201609
979,3000,182,201611
980,1000,4,201601
980,1000,2,201603
980,1000,1,201605
980,1000,0,201606
980,1000,3,201607
980,1000,5,201609
980,1000,2,201611
996,150,333,201601
996,150,380,201603
996,150,471,201605
996,150,0,201606
996,150,289,201607
996,150,266,201609
996,150,246,201611
1004,1000,599,201601
1004,1000,596,201603
1004,1000,557,201605
1004,1000,0,201606
1004,1000,524,201607
1004,1000,501,201609
1004,1000,498,201611
1019,150,843,201601
1019,150,913,201603
1019,150,1104,201605
1019,150,0,201606
1019,150,1029,201607
1019,150,756,201609
1019,150,667,201611
1019,150,0,201612
1022,150,146,201601
1022,150,140,201603
1022,150,170,201605
1022,150,0,201606
1022,150,386,201607
1022,150,198,201609
1022,150,200,201611
1031,3000,122,201601
1031,3000,244,201603
1031,3000,244,201605
1031,3000,0,201606
1031,3000,122,201607
1031,3000,244,201609
1031,3000,122,201611
1060,10030,3814,201601
1060,10030,3657,201603
1060,10030,2854,201605
1060,10030,0,201606
1060,10030,1908,201607
1060,10030,1639,201609
1060,10030,2660,201611
1060,10030,0,201612
1075,1000,345,201601
1075,1000,352,201603
1075,1000,350,201605
1075,1000,0,201606
1075,1000,373,201607
1075,1000,348,201609
1075,1000,220,201611
1083,1000,84,201601
1083,1000,96,201603
1083,1000,101,201605
1083,1000,0,201606
1083,1000,109,201607
1083,1000,112,201609
1083,1000,117,201611
1133,89033,14880,201601
1133,89033,17360,201602
1133,89033,15760,201603
1133,89033,14040,201604
1133,89033,18880,201605
1133,89033,21560,201606
1133,89033,25160,201607
1133,89033,14360,201608
1133,89033,17840,201609
1133,89033,17600,201610
1133,89033,16720,201611
1133,89033,6720,201612
1140,4000,1340,201601
1140,4000,1340,201603
1140,4000,1340,201605
1140,4000,0,201606
1140,4000,1340,201607
1140,4000,1340,201609
1140,4000,1340,201611
1159,1000,42,201601
1159,1000,31,201603
1159,1000,37,201605
1159,1000,0,201606
1159,1000,46,201607
1159,1000,49,201609
1159,1000,53,201611
1164,150,0,201601
1178,150,1143,201602
1178,150,1130,201604
1178,150,565,201606
1178,150,0,201607
1178,150,527,201608
1178,150,538,201610
1178,150,540,201612
1182,150,0,201602
1182,150,0,201604
1182,150,0,201606
1182,150,0,201608
1182,150,0,201610
1182,150,0,201612
1205,150,700,201602
1205,150,690,201604
1205,150,557,201606
1205,150,573,201608
1205,150,705,201610
1205,150,684,201612
1226,150,149,201602
1226,150,0,201603
1226,150,267,201604
1226,150,200,201606
1226,150,0,201607
1226,150,632,201608
1226,150,0,201609
1226,150,583,201610
1226,150,531,201612
1237,150,0,201601
1237,150,0,201602
1237,150,89,201604
1237,150,201,201606
1237,150,0,201607
1237,150,208,201608
1237,150,250,201610
1237,150,306,201612
1252,150,0,201601
1252,150,587,201602
1252,150,0,201603
1252,150,564,201604
1252,150,547,201606
1252,150,500,201608
1252,150,0,201609
1252,150,492,201610
1252,150,671,201612
1268,150,352,201602
1268,150,409,201604
1268,150,0,201605
1268,150,354,201606
1268,150,0,201607
1268,150,334,201608
1268,150,0,201609
1268,150,378,201610
1268,150,0,201611
1268,150,356,201612
1289,1000,3,201602
1289,1000,15,201604
1289,1000,15,201606
1289,1000,8,201608
1289,1000,16,201610
1289,1000,8,201612
1290,1000,33,201602
1290,1000,32,201604
1290,1000,0,201605
1290,1000,66,201606
1290,1000,0,201607
1290,1000,38,201608
1290,1000,37,201610
1290,1000,26,201612
1307,1000,4,201602
1307,1000,4,201604
1307,1000,4,201606
1307,1000,4,201608
1307,1000,4,201610
1307,1000,8,201612
1314,7006,980,201602
1314,7006,1088,201604
1314,7006,773,201606
1314,7006,767,201608
1314,7006,0,201609
1314,7006,912,201610
1314,7006,0,201611
1314,7006,911,201612
1335,150,0,201601
1335,150,667,201602
1335,150,730,201604
1335,150,738,201606
1335,150,759,201608
1335,150,792,201610
1335,150,49,201612
1346,1000,37,201602
1346,1000,34,201604
1346,1000,0,201605
1346,1000,66,201606
1346,1000,0,201607
1346,1000,36,201608
1346,1000,71,201610
1346,1000,67,201612
1369,150,227,201602
1369,150,138,201604
1369,150,8,201606
1369,150,0,201607
1369,150,20,201608
1369,150,174,201610
1369,150,341,201612
1373,1000,206,201602
1373,1000,109,201604
1373,1000,102,201606
1373,1000,117,201608
1373,1000,92,201610
1373,1000,93,201612
1392,2000,170,201602
1392,2000,0,201603
1392,2000,153,201604
1392,2000,372,201606
1392,2000,193,201608
1392,2000,187,201610
1392,2000,176,201612
1429,150,534,201602
1429,150,75,201604
1429,150,75,201606
1429,150,204,201608
1429,150,344,201610
1429,150,0,201611
1429,150,453,201612
1430,4000,533,201602
1430,4000,840,201604
1430,4000,1431,201606
1430,4000,393,201608
1430,4000,403,201610
1430,4000,0,201611
1430,4000,457,201612
1443,1843,171,201602
1443,1843,0,201603
1443,1843,253,201604
1443,1843,75,201606
1443,1843,0,201607
1443,1843,185,201608
1443,1843,110,201610
1443,1843,110,201612
1455,150,182,201602
1455,150,268,201604
1455,150,204,201606
1455,150,177,201608
1455,150,193,201610
1455,150,187,201612
1461,150,2391,201602
1461,150,1283,201604
1461,150,1422,201606
1461,150,0,201607
1461,150,745,201608
1461,150,0,201609
1461,150,1136,201610
1461,150,0,201611
1461,150,1677,201612
1476,150,403,201602
1476,150,331,201604
1476,150,502,201606
1476,150,485,201608
1476,150,338,201610
1476,150,606,201612
1494,150,0,201601
1494,150,598,201602
1494,150,659,201604
1494,150,0,201605
1494,150,705,201606
1494,150,289,201608
1494,150,0,201609
1494,150,670,201610
1494,150,707,201612
1501,150,336,201602
1501,150,338,201604
1501,150,374,201606
1501,150,0,201607
1501,150,389,201608
1501,150,403,201610
1501,150,383,201612
1515,4695,490,201602
1515,4695,539,201604
1515,4695,0,201605
1515,4695,450,201606
1515,4695,0,201607
1515,4695,513,201608
1515,4695,455,201610
1515,4695,0,201611
1515,4695,393,201612
1527,150,413,201602
1527,150,1063,201604
1527,150,0,201605
1527,150,1055,201606
1527,150,313,201608
1527,150,0,201609
1527,150,670,201610
1527,150,342,201612
1534,150,783,201602
1534,150,0,201603
1534,150,774,201604
1534,150,747,201606
1534,150,0,201607
1534,150,734,201608
1534,150,0,201609
1534,150,731,201610
1534,150,0,201611
1534,150,642,201612
1542,150,211,201602
1542,150,0,201603
1542,150,256,201604
1542,150,300,201606
1542,150,321,201608
1542,150,421,201610
1542,150,495,201612
1558,5900,671,201602
1558,5900,602,201604
1558,5900,599,201606
1558,5900,536,201608
1558,5900,456,201610
1558,5900,477,201612
1563,13000,738,201602
1563,13000,832,201604
1563,13000,846,201606
1563,13000,744,201608
1563,13000,899,201610
1563,13000,813,201612
1580,150,45,201602
1580,150,44,201604
1580,150,53,201606
1580,150,0,201607
1580,150,66,201608
1580,150,59,201610
1580,150,67,201612
1596,4812,0,201601
1596,4812,1032,201602
1596,4812,1424,201604
1596,4812,1558,201606
1596,4812,1145,201608
1596,4812,0,201609
1596,4812,1063,201610
1596,4812,0,201611
1596,4812,1044,201612
1603,5000,417,201602
1603,5000,511,201604
1603,5000,492,201606
1603,5000,473,201608
1603,5000,674,201610
1603,5000,574,201612
1618,150,0,201601
1618,150,433,201602
1618,150,0,201603
1618,150,609,201604
1618,150,0,201605
1618,150,620,201606
1618,150,0,201607
1618,150,822,201608
1618,150,843,201610
1618,150,0,201611
1618,150,639,201612
1620,150,514,201602
1620,150,651,201604
1620,150,0,201605
1620,150,669,201606
1620,150,684,201608
1620,150,718,201610
1620,150,605,201612
1636,1000,37,201602
1636,1000,44,201604
1636,1000,0,201605
1636,1000,49,201606
1636,1000,0,201607
1636,1000,40,201608
1636,1000,38,201610
1636,1000,38,201612
1645,150,1717,201602
1645,150,514,201604
1645,150,717,201606
1645,150,1247,201608
1645,150,488,201610
1645,150,604,201612
1651,150,319,201602
1651,150,213,201604
1651,150,177,201606
1651,150,200,201608
1651,150,241,201610
1651,150,200,201612
1662,150,457,201602
1662,150,251,201604
1662,150,278,201606
1662,150,204,201608
1662,150,236,201610
1662,150,240,201612
1677,150,171,201602
1677,150,200,201604
1677,150,332,201606
1677,150,0,201607
1677,150,560,201608
1677,150,484,201610
1677,150,483,201612
1684,150,1257,201602
1684,150,0,201603
1684,150,1432,201604
1684,150,1465,201606
1684,150,1188,201608
1684,150,1095,201610
1684,150,530,201612
1709,150,357,201602
1709,150,794,201604
1709,150,256,201606
1709,150,0,201607
1709,150,649,201608
1709,150,712,201610
1709,150,491,201611
1709,150,58,201612
1710,150,614,201602
1710,150,750,201604
1710,150,0,201605
1710,150,803,201606
1710,150,644,201608
1710,150,622,201610
1710,150,667,201612
1732,150,684,201602
1732,150,680,201604
1732,150,0,201605
1732,150,767,201606
1732,150,307,201608
1732,150,663,201610
1732,150,0,201611
1732,150,713,201612
1757,150,624,201602
1757,150,643,201604
1757,150,688,201606
1757,150,0,201607
1757,150,575,201608
1757,150,0,201609
1757,150,626,201610
1757,150,0,201611
1757,150,701,201612
1771,150,280,201602
1771,150,366,201604
1771,150,350,201606
1771,150,270,201608
1771,150,288,201610
1771,150,119,201612
1785,2000,98,201602
1785,2000,1,201603
1785,2000,0,201604
1793,150,398,201602
1793,150,0,201603
1793,150,387,201604
1793,150,0,201605
1793,150,360,201606
1793,150,347,201608
1793,150,447,201610
1793,150,533,201612
1802,5000,611,201602
1802,5000,891,201604
1802,5000,1262,201606
1802,5000,269,201608
1802,5000,637,201610
1802,5000,878,201612
1811,150,158,201602
1811,150,414,201604
1811,150,531,201606
1811,150,19,201607
1824,4846,544,201602
1824,4846,1180,201604
1824,4846,1433,201606
1824,4846,1258,201608
1824,4846,983,201610
1824,4846,1022,201612
1839,5000,1414,201602
1839,5000,2245,201604
1839,5000,1705,201606
1839,5000,874,201608
1839,5000,1200,201610
1839,5000,0,201611
1839,5000,2198,201612
1853,5000,56,201602
1853,5000,40,201604
1853,5000,23,201606
1853,5000,99,201608
1853,5000,16,201610
1853,5000,14,201612
1865,150,0,201601
1865,150,952,201602
1865,150,466,201604
1865,150,25,201606
1865,150,175,201608
1865,150,209,201610
1865,150,444,201612
1870,150,186,201602
1870,150,256,201604
1870,150,171,201606
1870,150,318,201608
1870,150,383,201610
1870,150,301,201612
1886,11010,280,201602
1886,11010,280,201604
1886,11010,19,201606
1886,11010,70,201608
1886,11010,118,201610
1886,11010,290,201612
1897,150,0,201602
1897,150,0,201604
1897,150,0,201606
1897,150,0,201608
1897,150,0,201609
1900,3476,602,201602
1900,3476,510,201604
1900,3476,994,201606
1900,3476,0,201607
1900,3476,792,201608
1900,3476,708,201610
1900,3476,365,201612
1916,15000,57748,201601
1916,15000,57748,201602
1916,15000,57748,201603
1916,15000,57748,201604
1916,15000,57748,201605
1916,15000,57748,201606
1916,15000,28874,201607
1916,15000,57748,201608
1916,15000,28874,201609
1916,15000,28874,201610
1916,15000,57748,201611
1916,15000,28874,201612
1938,150,999,201602
1938,150,1070,201604
1938,150,0,201605
1938,150,1044,201606
1938,150,0,201607
1938,150,943,201608
1938,150,0,201609
1938,150,1078,201610
1938,150,867,201612
1949,150,0,201601
1949,150,99,201602
1949,150,83,201604
1949,150,61,201606
1949,150,10,201608
1949,150,18,201610
1949,150,17,201612
1954,150,1621,201602
1954,150,2221,201604
1954,150,0,201605
1954,150,2166,201606
1954,150,1732,201608
1954,150,0,201609
1954,150,1586,201610
1954,150,0,201611
1954,150,1361,201612
1967,3000,1353,201602
1967,3000,1699,201604
1967,3000,2740,201606
1967,3000,2348,201608
1967,3000,1357,201610
1967,3000,1413,201612
1972,150,144,201602
1972,150,254,201604
1972,150,0,201605
1972,150,219,201606
1972,150,54,201608
1972,150,316,201610
1972,150,239,201612
1981,5000,293,201602
1981,5000,254,201604
1981,5000,229,201606
1981,5000,195,201608
1981,5000,264,201610
1981,5000,403,201612
1995,5000,1136,201602
1995,5000,1655,201604
1995,5000,2486,201606
1995,5000,536,201608
1995,5000,1116,201610
1995,5000,1110,201612
2001,1000,13,201602
2001,1000,11,201604
2001,1000,25,201606
2001,1000,0,201607
2001,1000,35,201608
2001,1000,30,201610
2001,1000,20,201612
2015,5000,788,201602
2015,5000,1527,201604
2015,5000,1769,201606
2015,5000,0,201607
2015,5000,1731,201608
2015,5000,704,201610
2015,5000,1280,201612
2027,150,0,201601
2027,150,488,201602
2027,150,0,201603
2027,150,378,201604
2027,150,373,201606
2027,150,0,201607
2027,150,510,201608
2027,150,540,201610
2027,150,0,201611
2027,150,520,201612
2034,150,487,201602
2034,150,625,201604
2034,150,0,201605
2034,150,606,201606
2034,150,0,201607
2034,150,540,201608
2034,150,528,201610
2034,150,523,201612
2042,2000,589,201602
2042,2000,628,201604
2042,2000,543,201606
2042,2000,412,201608
2042,2000,701,201610
2042,2000,280,201612
2058,9853,0,201601
2058,9853,0,201602
2058,9853,0,201604
2058,9853,0,201606
2058,9853,925,201608
2058,9853,620,201610
2058,9853,601,201612
2063,150,320,201602
2063,150,427,201604
2063,150,380,201606
2063,150,283,201608
2063,150,377,201610
2063,150,320,201612
2079,150,0,201601
2096,150,104,201602
2096,150,71,201604
2096,150,39,201606
2096,150,70,201608
2096,150,32,201610
2096,150,70,201612
2108,150,372,201602
2108,150,428,201604
2108,150,376,201606
2108,150,0,201607
2108,150,332,201608
2108,150,336,201610
2108,150,164,201612
2112,150,424,201602
2112,150,470,201604
2112,150,514,201606
2112,150,446,201608
2112,150,393,201610
2112,150,414,201612
2129,150,772,201602
2129,150,0,201603
2129,150,803,201604
2129,150,810,201606
2129,150,774,201608
2129,150,820,201610
2129,150,0,201611
2129,150,611,201612
2130,150,395,201602
2130,150,0,201603
2130,150,892,201604
2130,150,0,201605
2130,150,886,201606
2130,150,0,201607
2130,150,800,201608
2130,150,790,201610
2130,150,0,201611
2130,150,800,201612
2143,150,268,201602
2143,150,598,201604
2143,150,682,201606
2143,150,640,201608
2143,150,292,201610
2143,150,304,201612
2155,150,475,201602
2155,150,987,201604
2155,150,586,201606
2155,150,439,201608
2155,150,922,201610
2155,150,480,201612
2161,150,458,201602
2161,150,280,201604
2161,150,578,201606
2161,150,209,201608
2161,150,452,201610
2161,150,180,201612
2176,150,483,201602
2176,150,312,201604
2176,150,597,201606
2176,150,291,201608
2176,150,219,201610
2176,150,217,201612
2187,150,0,201601
2187,150,474,201602
2187,150,0,201603
2187,150,540,201604
2187,150,544,201606
2187,150,0,201607
2187,150,451,201608
2187,150,447,201610
2187,150,274,201612
2194,150,757,201602
2194,150,0,201603
2194,150,720,201604
2194,150,0,201605
2194,150,808,201606
2194,150,0,201607
2194,150,752,201608
2194,150,0,201609
2194,150,756,201610
2194,150,0,201611
2194,150,765,201612
2209,1000,140,201602
2209,1000,265,201604
2209,1000,418,201606
2209,1000,0,201607
2209,1000,344,201608
2209,1000,291,201610
2209,1000,331,201612
2210,150,506,201602
2210,150,570,201604
2210,150,636,201606
2210,150,585,201608
2210,150,0,201609
2210,150,537,201610
2210,150,550,201612
2232,150,262,201602
2232,150,0,201603
2232,150,536,201604
2232,150,0,201605
2232,150,157,201606
2232,150,2,201608
2232,150,26,201610
2232,150,48,201612
2266,5026,311,201601
2266,5026,246,201603
2266,5026,299,201605
2266,5026,0,201606
2266,5026,325,201607
2266,5026,274,201609
2266,5026,352,201611
2271,1000,71,201602
2271,1000,72,201604
2271,1000,91,201606
2271,1000,46,201608
2271,1000,64,201610
2271,1000,52,201612
2293,1000,0,201601
2293,1000,769,201602
2293,1000,0,201603
2293,1000,851,201604
2293,1000,0,201605
2293,1000,833,201606
2293,1000,687,201608
2293,1000,687,201610
2293,1000,739,201612
2302,4860,0,201601
2302,4860,460,201602
2302,4860,500,201604
2302,4860,602,201606
2302,4860,562,201608
2302,4860,528,201610
2302,4860,695,201612
2311,150,0,201604
2324,150,231,201602
2324,150,220,201604
2324,150,0,201605
2324,150,229,201606
2324,150,175,201608
2324,150,239,201610
2324,150,209,201612
2339,150,420,201602
2339,150,421,201604
2339,150,346,201606
2339,150,397,201608
2339,150,777,201610
2339,150,0,201611
2339,150,264,201612
2348,150,696,201602
2348,150,664,201604
2348,150,702,201606
2348,150,738,201608
2348,150,778,201610
2348,150,807,201612
2370,150,571,201602
2370,150,714,201604
2370,150,0,201605
2370,150,714,201606
2370,150,649,201608
2370,150,660,201610
2370,150,0,201611
2370,150,675,201612
2386,150,222,201602
2386,150,353,201604
2386,150,0,201605
2386,150,277,201606
2386,150,175,201608
2386,150,200,201610
2386,150,0,201611
2386,150,170,201612
2397,150,576,201602
2397,150,418,201604
2397,150,307,201606
2397,150,292,201608
2397,150,579,201610
2397,150,577,201612
2406,7806,155,201601
2406,7806,115,201603
2406,7806,133,201605
2406,7806,0,201606
2406,7806,157,201607
2406,7806,170,201609
2406,7806,164,201611
2417,150,126,201602
2417,150,125,201604
2417,150,212,201606
2417,150,212,201608
2417,150,178,201610
2417,150,204,201612
2425,150,230,201602
2425,150,453,201604
2425,150,284,201606
2425,150,210,201608
2425,150,252,201610
2425,150,240,201612
2433,3050,1455,201602
2433,3050,2374,201604
2433,3050,0,201605
2433,3050,2062,201606
2433,3050,1727,201608
2433,3050,2065,201610
2433,3050,3417,201612
2459,150,149,201602
2459,150,159,201604
2459,150,0,201605
2459,150,193,201606
2459,150,151,201608
2459,150,166,201610
2459,150,172,201612
2464,5000,75,201602
2464,5000,39,201604
2464,5000,0,201605
2464,5000,51,201606
2464,5000,41,201608
2464,5000,49,201610
2464,5000,95,201612
2491,1000,778,201601
2491,1000,368,201603
2491,1000,379,201605
2491,1000,0,201606
2491,1000,760,201607
2491,1000,352,201609
2491,1000,354,201611
2504,4000,202,201602
2504,4000,314,201604
2504,4000,240,201606
2504,4000,173,201608
2504,4000,214,201610
2504,4000,189,201612
2519,1000,26,201602
2519,1000,20,201604
2519,1000,26,201606
2519,1000,12,201608
2519,1000,28,201610
2519,1000,18,201612
2522,150,669,201602
2522,150,492,201604
2522,150,353,201606
2522,150,350,201608
2522,150,307,201610
2522,150,323,201612
2531,150,598,201602
2531,150,0,201603
2531,150,676,201604
2531,150,0,201605
2531,150,688,201606
2531,150,0,201607
2531,150,601,201608
2531,150,302,201610
2531,150,0,201611
2531,150,643,201612
2547,150,372,201602
2547,150,559,201604
2547,150,483,201606
2547,150,448,201608
2547,150,483,201610
2547,150,404,201612
2556,150,0,201601
2556,150,330,201602
2556,150,197,201604
2556,150,363,201606
2556,150,510,201608
2556,150,0,201609
2556,150,515,201610
2556,150,498,201612
2560,2140,400,201601
2560,2140,377,201603
2560,2140,429,201605
2560,2140,0,201606
2560,2140,579,201607
2560,2140,455,201609
2560,2140,0,201610
2560,2140,357,201611
2560,2140,0,201612
2575,380,405,201602
2575,380,503,201604
2575,380,490,201606
2575,380,171,201608
2575,380,0,201609
2575,380,481,201610
2575,380,240,201612
2583,995,470,201602
2583,995,0,201603
2583,995,472,201604
2583,995,519,201606
2583,995,399,201608
2583,995,452,201610
2583,995,892,201612
2598,4760,2337,201602
2598,4760,0,201603
2598,4760,2187,201604
